Price,Close,High,Low,Open,Volume
Ticker,FLUT,FLUT,FLUT,FLUT,FLUT
Date,,,,,
2024-01-25,201.00999450683594,205.9600067138672,198.10000610351562,202.5,1200
2024-01-26,205.0,207.0,202.5,205.0,2700
2024-01-29,205.5,212.0,205.0,212.0,444200
2024-01-30,206.75,210.9199981689453,202.0,208.8800048828125,249800
2024-01-31,207.63999938964844,209.19000244140625,206.30999755859375,207.1300048828125,178800
2024-02-01,209.5,209.5,206.1999969482422,208.82000732421875,91600
2024-02-02,216.5,216.5,206.4600067138672,206.47999572753906,111900
2024-02-05,212.0,213.0,207.8800048828125,210.52000427246094,263600
2024-02-06,209.27000427246094,212.05999755859375,209.0800018310547,210.74000549316406,179700
2024-02-07,207.27000427246094,210.2100067138672,207.27000427246094,209.5,94400
2024-02-08,209.6999969482422,214.0,209.25999450683594,210.58999633789062,96800
2024-02-09,216.85000610351562,217.07000732421875,210.8000030517578,211.89999389648438,121800
2024-02-12,213.4499969482422,214.75,211.08999633789062,213.94000244140625,216100
2024-02-13,204.0500030517578,206.39999389648438,202.57000732421875,204.74000549316406,220900
2024-02-14,208.10000610351562,209.0449981689453,206.60000610351562,208.8800048828125,236800
2024-02-15,214.3000030517578,215.05999755859375,207.9250030517578,210.1649932861328,236400
2024-02-16,213.38999938964844,217.22999572753906,212.72000122070312,217.0,167600
2024-02-20,206.5,212.45599365234375,206.0800018310547,212.16000366210938,150800
2024-02-21,205.42999267578125,206.00999450683594,202.63999938964844,205.2100067138672,80000
2024-02-22,210.97999572753906,213.3249969482422,206.80299377441406,207.55999755859375,165200
2024-02-23,211.97999572753906,211.97999572753906,209.5,210.1300048828125,63700
2024-02-26,210.89999389648438,213.27999877929688,209.77999877929688,210.77999877929688,95900
2024-02-27,216.5,218.0,213.3699951171875,213.4199981689453,120100
2024-02-28,215.14999389648438,215.50999450683594,213.08999633789062,215.0399932861328,115300
2024-02-29,217.86000061035156,220.77999877929688,214.77000427246094,220.77999877929688,172300
2024-03-01,216.0,217.36000061035156,214.4600067138672,216.55999755859375,80800
2024-03-04,214.63999938964844,215.0800018310547,212.6300048828125,212.86000061035156,70500
2024-03-05,213.99000549316406,216.0,213.02999877929688,213.97000122070312,46500
2024-03-06,220.1199951171875,221.8000030517578,216.1999969482422,216.7100067138672,103600
2024-03-07,221.32000732421875,221.9199981689453,216.9499969482422,218.1300048828125,198800
2024-03-08,218.0,220.8699951171875,216.3699951171875,220.57000732421875,96300
2024-03-11,218.5,219.58999633789062,213.3699951171875,214.07000732421875,66700
2024-03-12,221.3000030517578,222.89999389648438,217.0500030517578,218.17999267578125,84600
2024-03-13,225.6300048828125,226.39999389648438,223.3509979248047,225.02999877929688,108500
2024-03-14,222.88999938964844,225.10000610351562,221.02000427246094,225.10000610351562,100500
2024-03-15,216.07000732421875,221.77999877929688,216.07000732421875,219.5,121900
2024-03-18,214.4499969482422,215.2550048828125,212.47000122070312,214.3800048828125,68900
2024-03-19,215.6999969482422,216.39999389648438,212.97999572753906,213.94000244140625,91700
2024-03-20,217.25,218.3800048828125,212.08099365234375,212.94000244140625,114700
2024-03-21,218.0399932861328,219.80499267578125,216.16000366210938,218.75,256000
2024-03-22,218.8699951171875,220.19000244140625,216.7100067138672,219.0800018310547,145000
2024-03-25,217.0,219.39500427246094,216.86000061035156,219.00999450683594,173900
2024-03-26,214.83999633789062,219.80999755859375,214.3000030517578,216.66000366210938,267100
2024-03-27,202.2899932861328,208.89999389648438,195.5,208.89999389648438,644200
2024-03-28,197.49000549316406,204.42999267578125,196.49000549316406,204.42999267578125,338300
2024-04-01,196.3699951171875,198.89999389648438,194.6199951171875,197.4600067138672,169300
2024-04-02,191.97000122070312,195.16000366210938,190.75999450683594,192.7899932861328,273900
2024-04-03,199.17999267578125,202.3699951171875,194.13999938964844,194.13999938964844,376200
2024-04-04,200.99000549316406,201.35000610351562,198.2449951171875,200.14999389648438,615300
2024-04-05,201.3000030517578,202.4600067138672,197.57000732421875,197.8000030517578,425300
2024-04-08,192.64999389648438,199.3000030517578,191.60000610351562,199.2100067138672,288400
2024-04-09,199.1699981689453,199.5,195.72999572753906,197.44000244140625,227300
2024-04-10,195.47000122070312,197.64999389648438,194.94000244140625,196.67999267578125,152500
2024-04-11,191.77000427246094,194.57000732421875,190.625,194.39999389648438,269700
2024-04-12,186.41000366210938,189.64999389648438,184.47999572753906,189.24000549316406,384500
2024-04-15,184.00999450683594,188.80999755859375,183.57000732421875,188.6699981689453,164500
2024-04-16,184.3300018310547,186.52499389648438,183.8000030517578,186.32000732421875,180400
2024-04-17,181.3000030517578,186.02999877929688,180.6300048828125,185.86000061035156,225300
2024-04-18,183.5399932861328,184.7100067138672,182.47000122070312,183.6699981689453,253800
2024-04-19,183.5500030517578,184.58999633789062,182.14999389648438,183.83999633789062,133800
2024-04-22,184.86000061035156,185.88999938964844,181.52000427246094,182.6999969482422,238100
2024-04-23,189.88999938964844,190.0800018310547,186.8300018310547,187.17999267578125,199500
2024-04-24,186.38999938964844,187.94000244140625,182.8800048828125,187.94000244140625,277400
2024-04-25,187.3300018310547,187.99000549316406,182.53500366210938,183.5800018310547,182500
2024-04-26,185.47000122070312,188.0449981689453,184.4199981689453,185.9199981689453,230900
2024-04-29,187.4199981689453,188.42999267578125,183.72000122070312,184.19000244140625,181600
2024-04-30,186.25999450683594,189.47000122070312,186.1199951171875,189.32000732421875,266700
2024-05-01,189.75999450683594,192.22999572753906,184.85000610351562,185.7100067138672,435600
2024-05-02,191.5800018310547,192.82000732421875,189.65499877929688,192.0500030517578,479800
2024-05-03,196.3800048828125,205.89999389648438,194.97000122070312,196.47000122070312,427000
2024-05-06,202.89999389648438,204.8000030517578,198.85000610351562,201.05999755859375,704900
2024-05-07,202.88999938964844,205.8000030517578,200.9600067138672,202.27000427246094,512200
2024-05-08,199.75999450683594,201.83999633789062,198.17999267578125,199.39999389648438,545300
2024-05-09,204.63999938964844,204.94000244140625,198.77000427246094,199.0800018310547,496300
2024-05-10,207.00999450683594,207.1999969482422,202.8000030517578,203.4499969482422,1385200
2024-05-13,204.1699981689453,205.71600341796875,201.3300018310547,204.6999969482422,1545200
2024-05-14,201.8000030517578,205.6999969482422,197.42999267578125,197.5800018310547,1463300
2024-05-15,211.72000122070312,212.3699951171875,206.08999633789062,206.08999633789062,1435400
2024-05-16,207.57000732421875,211.67999267578125,206.9199981689453,210.9199981689453,964400
2024-05-17,206.5,207.33999633789062,203.17999267578125,204.92999267578125,887900
2024-05-20,209.8000030517578,209.8699951171875,205.83999633789062,205.9600067138672,990600
2024-05-21,209.69000244140625,210.1199951171875,207.6199951171875,210.11000061035156,1039600
2024-05-22,206.42999267578125,208.30999755859375,203.22999572753906,207.55999755859375,987100
2024-05-23,199.8699951171875,206.5800018310547,196.88999938964844,205.83999633789062,1174600
